0,0,0,0
-2.71768e-07,-3.29687e-06,-2.64256e-05,-2.64256e-05
-2.19814e-06,-1.32616e-05,-5.34346e-05,-5.34346e-05
-7.47006e-06,-3.01097e-05,-8.15841e-05,-8.15841e-05
-1.78497e-05,-5.41959e-05,-0.000111432,-0.000111432
-3.52055e-05,-8.60139e-05,-0.000143528,-0.000143528
-6.15461e-05,-0.000126193,-0.000178407,-0.000178407
-9.90541e-05,-0.000175493,-0.000216578,-0.000216578
-0.000150118,-0.000234798,-0.00025852,-0.00025852
-0.000217361,-0.000305106,-0.000304675,-0.000304675
-0.00030367,-0.000387522,-0.000355447,-0.000355447
-0.00041222,-0.000483247,-0.0004112,-0.0004112
-0.000546497,-0.000593567,-0.000472258,-0.000472258
-0.000710319,-0.000719845,-0.000538909,-0.000538909
-0.000907854,-0.00086351,-0.000611398,-0.000611398
-0.00114363,-0.00102605,-0.000689935,-0.000689935
-0.00142256,-0.001209,-0.000774687,-0.000774687
-0.00174994,-0.00141393,-0.000865784,-0.000865784
-0.00213147,-0.00164243,-0.000963316,-0.000963316
-0.00257324,-0.00189613,-0.00106734,-0.00106734
-0.00308175,-0.00217664,-0.00117785,-0.00117785
-0.0036639,-0.0024856,-0.00129485,-0.00129485
-0.00432702,-0.0028246,-0.00141826,-0.00141826
-0.00507882,-0.00319525,-0.00154798,-0.00154798
-0.00592739,-0.00359911,-0.0016839,-0.0016839
-0.00688124,-0.00403771,-0.00182585,-0.00182585
-0.00794923,-0.00451252,-0.00197363,-0.00197363
-0.00914061,-0.00502499,-0.00212703,-0.00212703
-0.0104649,-0.00557649,-0.0022858,-0.0022858
-0.0119322,-0.00616832,-0.00244968,-0.00244968
-0.0135525,-0.00680173,-0.00261836,-0.00261836
-0.0153366,-0.00747788,-0.00279153,-0.00279153
-0.0172951,-0.00819784,-0.00296887,-0.00296887
-0.0194392,-0.00896263,-0.00315003,-0.00315003
-0.0217802,-0.00977315,-0.00333466,-0.00333466
-0.0243296,-0.0106302,-0.0035224,-0.0035224
-0.0270992,-0.0115346,-0.00371287,-0.00371287
-0.0301009,-0.0124869,-0.0039057,-0.0039057
-0.0333466,-0.0134876,-0.00410052,-0.00410052
-0.0368487,-0.0145372,-0.00429695,-0.00429695
-0.0406193,-0.0156362,-0.00449463,-0.00449463
-0.0446709,-0.0167846,-0.00469317,-0.00469317
-0.0490157,-0.0179828,-0.00489223,-0.00489223
-0.0536664,-0.0192308,-0.00509144,-0.00509144
-0.0586352,-0.0205285,-0.00529045,-0.00529045
-0.0639347,-0.0218759,-0.00548891,-0.00548891
-0.0695773,-0.0232729,-0.00568647,-0.00568647
-0.0755752,-0.0247191,-0.0058828,-0.0058828
-0.0819408,-0.0262142,-0.00607753,-0.00607753
-0.0886863,-0.0277577,-0.00627034,-0.00627034
-0.0958236,-0.0293491,-0.00646087,-0.00646087
-0.103365,-0.0309879,-0.00664878,-0.00664878
-0.111321,-0.0326733,-0.00683371,-0.00683371
